Timestamp,Balance,BRENTX
2016-09-14 16:17:03.178000, Balance: 9999.80, Current Profit: -0.20000, Units -10
2016-09-14 16:18:48.779000, Balance: 9999.80, Current Profit: -0.92500, Units -10
2016-09-14 16:20:22.843000, Balance: 9999.80, Current Profit: -3.60000, Units -10
2016-09-14 16:21:52.291000, Balance: 9999.80, Current Profit: -2.55000, Units -10
2016-09-14 16:24:01.154000, Balance: 9999.80, Current Profit: -1.90000, Units -10
2016-09-14 16:26:17.450000, Balance: 9999.80, Current Profit: -2.52500, Units -10
2016-09-14 16:27:55.141000, Balance: 9999.80, Current Profit: -2.95000, Units -10
2016-09-14 16:30:00.636000, Balance: 9999.80, Current Profit: -2.30000, Units -10
2016-09-14 16:31:25.481000, Balance: 9999.80, Current Profit: -1.02500, Units -10
2016-09-14 16:34:07.125000, Balance: 9999.80, Current Profit: -0.97500, Units -10
2016-09-14 16:37:17.590000, Balance: 9999.80, Current Profit: -1.42500, Units -10
2016-09-14 16:39:45.672000, Balance: 9999.80, Current Profit: -1.50000, Units -10
2016-09-14 16:41:52.236000, Balance: 9999.80, Current Profit: -1.32500, Units -10
2016-09-14 16:44:26.163000, Balance: 9999.80, Current Profit: -0.97500, Units -10
2016-09-14 16:47:26.265000, Balance: 9999.80, Current Profit: -0.57500, Units -10
2016-09-14 16:50:37.521000, Balance: 9999.80, Current Profit: -1.00000, Units -10
2016-09-14 16:54:00.046000, Balance: 9999.80, Current Profit: -0.75000, Units -10
2016-09-14 16:58:16.367000, Balance: 9999.80, Current Profit: -1.50000, Units -10
2016-09-14 17:00:58.931000, Balance: 9999.80, Current Profit: -1.87500, Units -10
2016-09-14 17:04:09.579000, Balance: 9999.80, Current Profit: -1.00000, Units -10
2016-09-14 17:07:19.469000, Balance: 9999.80, Current Profit: -0.80000, Units -10
2016-09-14 17:12:38.199000, Balance: 9999.80, Current Profit: -0.35000, Units -10
2016-09-14 17:17:02.487000, Balance: 9999.80, Current Profit: -0.42500, Units -10
2016-09-14 17:21:48.042000, Balance: 9999.80, Current Profit: -0.12500, Units -10
2016-09-14 17:25:09.291000, Balance: 9999.80, Current Profit: 0.05000, Units -10
2016-09-14 17:29:50.651000, Balance: 9999.80, Current Profit: -0.22500, Units -10
2016-09-14 17:32:56.071000, Balance: 9999.80, Current Profit: 0.20000, Units -10
2016-09-14 17:36:46.949000, Balance: 9999.80, Current Profit: 0.02500, Units -10
2016-09-14 17:40:28.107000, Balance: 9999.80, Current Profit: 0.65000, Units -10
2016-09-14 17:43:33.836000, Balance: 9999.80, Current Profit: 0.50000, Units -10
2016-09-14 17:47:19.005000, Balance: 9999.80, Current Profit: -0.02500, Units -10
2016-09-14 17:50:19.048000, Balance: 9999.80, Current Profit: -0.37500, Units -10
2016-09-14 17:54:50.114000, Balance: 9999.80, Current Profit: -0.32500, Units -10
2016-09-14 17:59:25.866000, Balance: 9999.80, Current Profit: -0.45000, Units -10
2016-09-14 18:04:41.156000, Balance: 9999.80, Current Profit: -0.05000, Units -10
2016-09-14 18:09:09.479000, Balance: 9999.80, Current Profit: -0.80000, Units -10
2016-09-14 18:15:01.063000, Balance: 9999.80, Current Profit: -0.60000, Units -10
2016-09-14 18:20:12.580000, Balance: 9999.80, Current Profit: -0.77500, Units -10
2016-09-14 18:26:09.484000, Balance: 9999.80, Current Profit: -0.77500, Units -10
2016-09-14 18:31:02.285000, Balance: 9999.80, Current Profit: -1.12500, Units -10
2016-09-14 18:33:38.931000, Balance: 9999.80, Current Profit: -1.85000, Units -10
2016-09-14 18:37:27.807000, Balance: 9999.80, Current Profit: -1.30000, Units -10
2016-09-14 18:41:50.054000, Balance: 9999.80, Current Profit: -0.57500, Units -10
2016-09-14 18:46:04.958000, Balance: 9999.80, Current Profit: -0.37500, Units -10
2016-09-14 18:49:51.454000, Balance: 9999.80, Current Profit: 0.25000, Units -10
2016-09-14 18:53:06.234000, Balance: 9999.80, Current Profit: 0.70000, Units -10
2016-09-14 18:55:42.745000, Balance: 9999.80, Current Profit: 0.42500, Units -10
2016-09-14 19:00:32.775000, Balance: 9999.80, Current Profit: 0.20000, Units -10
2016-09-14 19:04:56.479000, Balance: 9999.80, Current Profit: 0.65000, Units -10
2016-09-14 19:07:48.706000, Balance: 9999.80, Current Profit: 1.80000, Units -10
2016-09-14 19:11:07.137000, Balance: 9999.80, Current Profit: 1.62500, Units -10
2016-09-14 19:15:22.572000, Balance: 9999.80, Current Profit: 1.72500, Units -10
2016-09-14 19:18:23.109000, Balance: 9999.80, Current Profit: 2.60000, Units -10
2016-09-14 19:20:47.719000, Balance: 9999.80, Current Profit: 3.07500, Units -10
2016-09-14 19:23:22.302000, Balance: 9999.80, Current Profit: 2.82500, Units -10
2016-09-14 19:25:14.617000, Balance: 9999.80, Current Profit: 3.50000, Units -10
2016-09-14 19:27:12.032000, Balance: 9999.80, Current Profit: 3.73750, Units -15
2016-09-14 19:28:32.550000, Balance: 9999.80, Current Profit: 1.07500, Units -15
2016-09-14 19:29:51.160000, Balance: 9999.80, Current Profit: 1.78750, Units -15
2016-09-14 19:32:00.421000, Balance: 9999.80, Current Profit: 1.48750, Units -15
2016-09-14 19:36:53.156000, Balance: 9999.80, Current Profit: 1.86250, Units -15
2016-09-14 19:41:17.743000, Balance: 9999.80, Current Profit: 0.58750, Units -15
2016-09-14 19:49:01.500000, Balance: 9999.80, Current Profit: 0.36250, Units -15
2016-09-14 19:55:26.962000, Balance: 9999.80, Current Profit: 0.88750, Units -15
2016-09-14 20:02:25.395000, Balance: 9999.80, Current Profit: 1.75000, Units -15
2016-09-14 20:15:00.117000, Balance: 9999.80, Current Profit: 1.07500, Units -15
2016-09-14 20:23:14.971000, Balance: 9999.80, Current Profit: 1.45000, Units -15
2016-09-14 20:34:26.909000, Balance: 9999.80, Current Profit: 1.18750, Units -15
2016-09-14 20:41:00.642000, Balance: 9999.80, Current Profit: 0.32500, Units -15
2016-09-14 20:46:47.660000, Balance: 9999.80, Current Profit: 0.28750, Units -15
2016-09-14 20:53:08.487000, Balance: 9999.80, Current Profit: 0.92500, Units -15
2016-09-14 21:10:08.013000, Balance: 9999.53,0.00, 0
2016-09-14 21:55:09.809000, Balance: 9999.53,0.00, 0
2016-09-19 01:00:20.938000, Balance: 9999.53,0.00, 0
2016-09-19 01:44:11.168000, Balance: 9999.53,0.00, 0
2016-09-19 02:18:50.405000, Balance: 9999.53,0.00, 0
2016-09-19 02:45:59.210000, Balance: 9999.53,0.00, 0
2016-09-19 03:27:19.786000, Balance: 9999.53,0.00, 0
2016-09-19 04:05:39.393000, Balance: 9999.53,0.00, 0
2016-09-19 04:55:01.648000, Balance: 9999.53,0.00, 0
2016-09-19 05:58:01.688000, Balance: 9999.53,0.00, 0
2016-09-19 06:47:39.529000, Balance: 9999.53,0.00, 0
2016-09-19 07:09:54.319000, Balance: 9999.53,0.00, 0
2016-09-19 07:21:20.110000, Balance: 9999.53,0.00, 0
2016-09-19 07:33:35.797000, Balance: 9999.53,0.00, 0
2016-09-19 07:49:41.665000, Balance: 9999.53,0.00, 0
2016-09-19 08:01:28.368000, Balance: 9999.53,0.00, 0
2016-09-19 08:06:12.232000, Balance: 9999.53,0.00, 0
2016-09-19 08:11:16.713000, Balance: 9999.53,0.00, 0
2016-09-19 08:15:33.906000, Balance: 9999.53,0.00, 0
2016-09-19 08:20:34.894000, Balance: 9999.53,0.00, 0
2016-09-19 08:25:54.486000, Balance: 9999.53,0.00, 0
2016-09-19 08:32:07.384000, Balance: 9999.53,0.00, 0
2016-09-19 08:39:31.512000, Balance: 9999.53,0.00, 0
2016-09-19 08:46:49.496000, Balance: 9999.53,0.00, 0
2016-09-19 08:54:30.270000, Balance: 9999.53,0.00, 0
2016-09-19 09:01:07.172000, Balance: 9999.53,0.00, 0
2016-09-19 09:06:12.192000, Balance: 9999.53,0.00, 0
2016-09-19 09:11:31.176000, Balance: 9999.53,0.00, 0
2016-09-19 09:17:02.905000, Balance: 9999.53,0.00, 0
2016-09-19 09:23:31.651000, Balance: 9999.53,0.00, 0
2016-09-19 09:28:34.196000, Balance: 9999.53,0.00, 0
2016-09-19 09:31:39.396000, Balance: 9999.53,0.00, 0
2016-09-19 09:36:56.213000, Balance: 9999.53,0.00, 0
2016-09-19 09:45:17.338000, Balance: 9999.53,0.00, 0
2016-09-19 09:52:11.371000, Balance: 9999.53,0.00, 0
2016-09-19 09:59:36.477000, Balance: 9999.53,0.00, 0
2016-09-19 10:08:35.793000, Balance: 9999.53,0.00, 0
